Owner,Name,Id,Source,Destination,Type
Constraint Management - Round 1,Identified Maxes for Vehicle & Powertrain,P3.D 1,,Update Constraints & Considerations in Repo or UPR overrides,Plant Maxes
Constraint Management - Round 1,Identified Heijunkas,P3.D 2,,Update Constraints & Considerations in Repo or UPR overrides,Hard Heijunkas
Constraint Management - Round 1,Identified known ongoing capacity constraints,P3.D 3,Identify hard ongoing  capacity constraints,Update Constraints & Considerations in Repo or UPR overrides,Hard Capacity Constraints
Constraint Management - Round 1,Identified considerations constraint,P3.D 4,Identify Commercial constraints,Update Constraints & Considerations in Repo or UPR overrides,Commercial Contraints
Constraint Management - Round 1,CS Updates,P3.D 5,Update Constraints & Considerations in Repo or UPR overrides,Store Constraint Scenario,Update Constraints
Constraint Management - Round 1,Store Constraint Scenario #1,P3.D 6,Store Constraint Scenario,,Constraint Scenario Round 1
Constraint Management - Round 2,Validated Breakdown plan,P6.D 1,,Evaluate Rough Cut Capacity & identify key part constraints,Breakdown Plan
Constraint Management - Round 2,Round 1 First run shared,P6.D 2,,Evaluate Rough Cut Capacity & identify key part constraints,Round 1 Optimiser Output
Constraint Management - Round 2,Align scenarios to Planning Sheet,P6.D 3,,Prepare for Supply Review. Establish constraint scenarios proposed to run,Planning Sheet
Constraint Management - Round 2,Store Constraint Scenario #2,,Store Constraint Scenario,,Constraint Scenario Round 2
Deployment Planning,Final Derivative Override,P11.D 1,,Copy Derivative Override into Confirmed Production,Derivative Override
Deployment Planning,Approved Confirmed Production Data,P11.D 2,Copy Derivative Override into Confirmed Production,Send from Planning System to Execution System,Confirmed Production
Deployment Planning,Allocation Plan Data,P11.D 3,Send from Planning System to Execution System,"Allocation arrives in Execution System ""landing area""",Allocation Plan
Deployment Planning,Report transfer rejection,P11.D 4,"Report to Demand Planning on applicability, effectivity issues",,Derivative Override
Deployment Planning,Execution System Allocation Data,P11.D 5,"Allocation arrives in Execution System ""landing area""",,Allocation Plan
Deployment Planning,Sync'd S&OP Model,P11.D 6,Sync Confirmed Production to S&OP model,,S&OP model
Deployment Planning,Op Strat updates,P11.D 7,Programme Planner pulls into Future Plan,,OpStrat Plan
Inventory Planning,Updated P6 Structure,P4.D 1,,"Markets create URF, UWF, calculates to a UPR in line with latest guidelines on Start of Sales/certification assumptions",Monthly P6 Derivative
Inventory Planning,Updated Applicability,P4.D 2,,"Markets create URF, UWF, calculates to a UPR in line with latest guidelines on Start of Sales/certification assumptions",Monthly Applicability
Inventory Planning,Calculated UPR,P4.D 3,"Markets create URF, UWF, calculates to a UPR in line with latest guidelines on Start of Sales/certification assumptions",Validate UPR prior to Demand Review,Calculated UPR
Inventory Planning,UPR Review,P4.D 4,DEMAND REVIEW - UPR Handover,Export URF & UPR for analysis,Approved UPR
MPS - Master Production Scheduling,Identified Maxes for Vehicle & Powertrain,P2.D 1,Vehicle & Powertrain Plant Maxes based on demonstrable levels,,Plant Maxes
MPS - Master Production Scheduling,Identified Heijunkas,P2.D 2,Identify Heijunkas constraints,,Hard Heijunkas
Pre/ Executive Review,Agreed constraints to be updated,P10.D 1,Agree changes to UPR / Constraints / Considerations with relevant stakeholders,,Update Constraints
Review Allocation Planning,Shared Draft Plan from S&OP Team,P9.D 1,,Review Wholesales vs UWF in S&OP horizon.,Draft Plan
Review Allocation Planning,Approved Allocation Plan,P9.D 2,Changes discussed & approved or rejected,,Published Plan
